[info] welcome to sbt 1.12.11 (Eclipse Adoptium Java 21.0.11)
[info] loading global plugins from /Users/mariocallisto/.sbt/1.0/plugins
[info] loading settings for project uniform-tilings-build from plugins.sbt...
[info] loading project definition from /Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/project
[info] loading settings for project root from build.sbt...
[info] set current project to uniform-tilings (in build file:/Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/)
[info] compiling 1 Scala source to /Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/core/target/scala-3.8.4/classes ...
[info] done compiling
  [relaxed maxSize=24] 1575s  dsets=752177 (477/s)  distinct=958
  [relaxed maxSize=24] 1590s  dsets=760327 (478/s)  distinct=963
  [relaxed maxSize=24] 1606s  dsets=774709 (482/s)  distinct=963
  [relaxed maxSize=24] 1621s  dsets=782474 (482/s)  distinct=965
  [relaxed maxSize=24] 1636s  dsets=792756 (484/s)  distinct=965
  [relaxed maxSize=24] 1651s  dsets=798537 (483/s)  distinct=965
  [relaxed maxSize=24] 1666s  dsets=802258 (481/s)  distinct=965
  [relaxed maxSize=24] 1681s  dsets=806437 (479/s)  distinct=965
  [relaxed maxSize=24] 1696s  dsets=816220 (481/s)  distinct=966
  [relaxed maxSize=24] 1711s  dsets=819846 (479/s)  distinct=970
  [relaxed maxSize=24] 1726s  dsets=826533 (479/s)  distinct=973
  [relaxed maxSize=24] 1741s  dsets=831138 (477/s)  distinct=974
  [relaxed maxSize=24] 1756s  dsets=837573 (477/s)  distinct=974
  [relaxed maxSize=24] 1771s  dsets=841083 (475/s)  distinct=975
  [relaxed maxSize=24] 1786s  dsets=843139 (472/s)  distinct=975
  [relaxed maxSize=24] 1801s  dsets=846284 (470/s)  distinct=975
  [relaxed maxSize=24] 1816s  dsets=853940 (470/s)  distinct=977
  [relaxed maxSize=24] 1831s  dsets=866377 (473/s)  distinct=977
  [relaxed maxSize=24] 1846s  dsets=875968 (474/s)  distinct=977
  [relaxed maxSize=24] 1861s  dsets=884880 (475/s)  distinct=977
  [relaxed maxSize=24] 1876s  dsets=890857 (474/s)  distinct=977
  [relaxed maxSize=24] 1891s  dsets=897605 (474/s)  distinct=977
  [relaxed maxSize=24] 1906s  dsets=901676 (473/s)  distinct=977
  [relaxed maxSize=24] 1921s  dsets=903625 (470/s)  distinct=977
  [relaxed maxSize=24] 1936s  dsets=909719 (469/s)  distinct=977
  [relaxed maxSize=24] 1951s  dsets=913145 (468/s)  distinct=977
  [relaxed maxSize=24] 1966s  dsets=915603 (465/s)  distinct=977
  [relaxed maxSize=24] 1981s  dsets=918476 (463/s)  distinct=977
  [relaxed maxSize=24] 1996s  dsets=921248 (461/s)  distinct=979
  [relaxed maxSize=24] 2011s  dsets=925850 (460/s)  distinct=982
  [relaxed maxSize=24] 2026s  dsets=929383 (458/s)  distinct=986
  [relaxed maxSize=24] 2041s  dsets=933824 (457/s)  distinct=990
  [relaxed maxSize=24] 2056s  dsets=936556 (455/s)  distinct=993
  [relaxed maxSize=24] 2071s  dsets=938800 (453/s)  distinct=993
  [relaxed maxSize=24] 2086s  dsets=940479 (450/s)  distinct=994
  [relaxed maxSize=24] 2101s  dsets=941203 (448/s)  distinct=995
  [relaxed maxSize=24] 2116s  dsets=948810 (448/s)  distinct=999
  [relaxed maxSize=24] 2131s  dsets=954311 (447/s)  distinct=1004
  [relaxed maxSize=24] 2146s  dsets=957645 (446/s)  distinct=1005
