[info] welcome to sbt 1.12.11 (Eclipse Adoptium Java 21.0.11)
[info] loading global plugins from /Users/mariocallisto/.sbt/1.0/plugins
[info] loading settings for project uniform-tilings-build from plugins.sbt...
[info] loading project definition from /Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/project
[info] loading settings for project root from build.sbt...
[info] set current project to uniform-tilings (in build file:/Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/)
[warn] Getting the hostname MacBook-Pro-di-Mario.local was slow (5002.237045 ms). This is likely because the computer's hostname is not set. You can set the hostname with the command: scutil --set HostName "$(scutil --get LocalHostName).local".
  [relaxed maxSize=24] 1516s  dsets=728715 (480/s)  distinct=4138
  [relaxed maxSize=24] 1531s  dsets=736196 (480/s)  distinct=4296
  [relaxed maxSize=24] 1546s  dsets=738727 (477/s)  distinct=4303
  [relaxed maxSize=24] 1561s  dsets=741746 (475/s)  distinct=4304
  [relaxed maxSize=24] 1576s  dsets=748091 (474/s)  distinct=4407
  [relaxed maxSize=24] 1591s  dsets=751677 (472/s)  distinct=4447
  [relaxed maxSize=24] 1606s  dsets=754320 (469/s)  distinct=4534
  [relaxed maxSize=24] 1621s  dsets=759256 (468/s)  distinct=5555
  [relaxed maxSize=24] 1636s  dsets=763996 (466/s)  distinct=5691
  [relaxed maxSize=24] 1651s  dsets=772600 (467/s)  distinct=5956
  [relaxed maxSize=24] 1666s  dsets=778069 (466/s)  distinct=7554
  [relaxed maxSize=24] 1681s  dsets=782574 (465/s)  distinct=8032
  [relaxed maxSize=24] 1696s  dsets=791781 (466/s)  distinct=8056
  [relaxed maxSize=24] 1711s  dsets=799985 (467/s)  distinct=8072
  [relaxed maxSize=24] 1726s  dsets=807005 (467/s)  distinct=8072
  [relaxed maxSize=24] 1741s  dsets=813475 (467/s)  distinct=8088
  [relaxed maxSize=24] 1756s  dsets=817748 (465/s)  distinct=8134
  [relaxed maxSize=24] 1771s  dsets=824609 (465/s)  distinct=8234
  [relaxed maxSize=24] 1786s  dsets=828013 (463/s)  distinct=8281
  [relaxed maxSize=24] 1801s  dsets=829679 (460/s)  distinct=8309
  [relaxed maxSize=24] 1816s  dsets=834411 (459/s)  distinct=8522
  [relaxed maxSize=24] 1831s  dsets=836150 (456/s)  distinct=8603
  [relaxed maxSize=24] 1846s  dsets=842271 (456/s)  distinct=8607
  [relaxed maxSize=24] 1861s  dsets=846599 (454/s)  distinct=8607
  [relaxed maxSize=24] 1876s  dsets=849245 (452/s)  distinct=8607
  [relaxed maxSize=24] 1891s  dsets=850486 (449/s)  distinct=8607
  [relaxed maxSize=24] 1906s  dsets=873027 (457/s)  distinct=8795
  [relaxed maxSize=24] 1921s  dsets=902462 (469/s)  distinct=9031
  [relaxed maxSize=24] 1936s  dsets=924934 (477/s)  distinct=9235
  [relaxed maxSize=24] 1951s  dsets=949794 (486/s)  distinct=9505
  [relaxed maxSize=24] 1966s  dsets=970338 (493/s)  distinct=9635
  [relaxed maxSize=24] 1981s  dsets=986393 (497/s)  distinct=9678
  [relaxed maxSize=24] 1996s  dsets=994863 (498/s)  distinct=9702
  [relaxed maxSize=24] 2011s  dsets=1003124 (498/s)  distinct=9713
  [relaxed maxSize=24] 2026s  dsets=1013438 (500/s)  distinct=9756
  [relaxed maxSize=24] 2041s  dsets=1035546 (507/s)  distinct=10596
  [relaxed maxSize=24] 2056s  dsets=1043797 (507/s)  distinct=10646
  [relaxed maxSize=24] 2071s  dsets=1049307 (506/s)  distinct=10683
  [relaxed maxSize=24] 2086s  dsets=1051934 (504/s)  distinct=10712
  [relaxed maxSize=24] 2101s  dsets=1053883 (501/s)  distinct=10727
  [relaxed maxSize=24] 2116s  dsets=1064878 (503/s)  distinct=10782
  [relaxed maxSize=24] 2131s  dsets=1073268 (503/s)  distinct=10803
  [relaxed maxSize=24] 2146s  dsets=1083182 (504/s)  distinct=11271
  [relaxed maxSize=24] 2161s  dsets=1090501 (504/s)  distinct=11316
  [relaxed maxSize=24] 2176s  dsets=1094086 (502/s)  distinct=11370
  [relaxed maxSize=24] 2191s  dsets=1096473 (500/s)  distinct=11396
  [relaxed maxSize=24] 2206s  dsets=1105113 (500/s)  distinct=11428
  [relaxed maxSize=24] 2221s  dsets=1121150 (504/s)  distinct=11581
  [relaxed maxSize=24] 2236s  dsets=1132804 (506/s)  distinct=11634
  [relaxed maxSize=24] 2251s  dsets=1134345 (503/s)  distinct=11642
  [relaxed maxSize=24] 2266s  dsets=1153590 (509/s)  distinct=11756
  [relaxed maxSize=24] 2282s  dsets=1166958 (511/s)  distinct=11769
  [relaxed maxSize=24] 2297s  dsets=1169991 (509/s)  distinct=11774
  [relaxed maxSize=24] 2312s  dsets=1174674 (508/s)  distinct=11786
