count=654
z=3.7.42	claimed=10	n=6	chambers=28	sigs=List(3.12.42, 3.7.12, 3.7.42, 7.8.42, 8.42, 7.8)	regularOrbits=1,2,3	irregularOrbits=0,4	key=1,2,3,12|3;4,1,5,12|3;3,6,1,42|3;2,7,8,12|3;8,9,2,3|3;10,3,9,42|3;7,4,11,12|3;5,12,4,3|3;13,5,6,3|3;6,14,13,42|3;11,15,7,7|3;16,8,15,3|3;9,16,10,3|3;17,10,18,42|3;19,11,12,7|3;12,13,19,3|3;14,20,21,42|3;21,19,14,7|3;15,18,16,7|3;22,17,23,42|3;18,24,17,7|3;20,22,25,42|2;25,26,20,8|3;27,21,26,7|3;23,25,22,8|2;28,23,24,8|3;24,27,28,7|2;26,28,27,8|2;
z=3.7.42	claimed=10	n=7	chambers=32	sigs=List(6.27.42, 6.42, 3.27.42, 3.7.27, 3.7.42, 7.27, 7.27)	regularOrbits=2,3,4	irregularOrbits=0,1	key=1,2,3,27|3;4,1,5,27|3;3,6,1,6|3;2,7,8,27|3;8,9,2,42|3;10,3,9,6|3;11,4,12,27|3;5,13,4,42|3;14,5,6,42|3;6,10,14,6|2;7,15,16,27|3;16,17,7,3|3;18,8,17,42|3;9,14,10,42|2;19,11,20,27|3;12,21,11,3|3;22,12,13,3|3;13,23,22,42|3;15,24,25,27|2;25,26,15,7|3;27,16,26,3|3;17,27,18,3|3;23,18,28,42|3;29,19,30,27|2;20,30,19,7|2;31,20,21,7|3;21,22,31,3|3;28,31,23,7|3;24,29,32,27|2;32,25,24,7|2;26,28,27,7|3;30,32,29,7|2;
z=3.7.42	claimed=10	n=7	chambers=32	sigs=List(6.7.27, 6.7, 3.7.27, 3.27.42, 3.7.42, 27.42, 27.42)	regularOrbits=2,3,4	irregularOrbits=0,1	key=1,2,3,27|3;4,1,5,27|3;3,6,1,6|3;2,7,8,27|3;8,9,2,7|3;10,3,9,6|3;11,4,12,27|3;5,13,4,7|3;14,5,6,7|3;6,10,14,6|2;7,15,16,27|3;16,17,7,3|3;18,8,17,7|3;9,14,10,7|2;19,11,20,27|3;12,21,11,3|3;22,12,13,3|3;13,23,22,7|3;15,24,25,27|2;25,26,15,42|3;27,16,26,3|3;17,27,18,3|3;23,18,28,7|3;29,19,30,27|2;20,30,19,42|2;31,20,21,42|3;21,22,31,3|3;28,31,23,42|3;24,29,32,27|2;32,25,24,42|2;26,28,27,42|3;30,32,29,42|2;
z=3.7.42	claimed=10	n=7	chambers=32	sigs=List(7.9.18, 7.9, 3.7.18, 3.18.42, 3.7.42, 18.42, 18.42)	regularOrbits=2,3,4	irregularOrbits=0,1	key=1,2,3,18|3;4,1,5,18|3;3,6,1,9|3;2,7,8,18|3;8,9,2,7|3;10,3,9,9|3;11,4,12,18|3;5,13,4,7|3;14,5,6,7|3;6,10,14,9|2;7,15,16,18|3;16,17,7,3|3;18,8,17,7|3;9,14,10,7|2;19,11,20,18|3;12,21,11,3|3;22,12,13,3|3;13,23,22,7|3;15,24,25,18|2;25,26,15,42|3;27,16,26,3|3;17,27,18,3|3;23,18,28,7|3;29,19,30,18|2;20,30,19,42|2;31,20,21,42|3;21,22,31,3|3;28,31,23,42|3;24,29,32,18|2;32,25,24,42|2;26,28,27,42|3;30,32,29,42|2;
z=3.7.42	claimed=10	n=7	chambers=32	sigs=List(9.18.42, 9.42, 3.18.42, 3.7.18, 3.7.42, 7.18, 7.18)	regularOrbits=2,3,4	irregularOrbits=0,1	key=1,2,3,18|3;4,1,5,18|3;3,6,1,9|3;2,7,8,18|3;8,9,2,42|3;10,3,9,9|3;11,4,12,18|3;5,13,4,42|3;14,5,6,42|3;6,10,14,9|2;7,15,16,18|3;16,17,7,3|3;18,8,17,42|3;9,14,10,42|2;19,11,20,18|3;12,21,11,3|3;22,12,13,3|3;13,23,22,42|3;15,24,25,18|2;25,26,15,7|3;27,16,26,3|3;17,27,18,3|3;23,18,28,42|3;29,19,30,18|2;20,30,19,7|2;31,20,21,7|3;21,22,31,3|3;28,31,23,7|3;24,29,32,18|2;32,25,24,7|2;26,28,27,7|3;30,32,29,7|2;
z=3.7.42	claimed=10	n=7	chambers=34	sigs=List(6.24.42, 6.42, 3.24.42, 3.7.24, 3.7.42, 3.7.24, 3.7)	regularOrbits=2,3,4	irregularOrbits=0,1,5	key=1,2,3,24|3;4,1,5,24|3;3,6,1,3|3;2,7,8,24|3;8,9,2,7|3;10,3,9,3|3;11,4,12,24|3;5,13,4,7|3;14,5,6,7|3;6,10,14,3|2;7,15,16,24|3;16,17,7,3|3;18,8,17,7|3;9,14,10,7|2;19,11,20,24|3;12,21,11,3|3;22,12,13,3|3;13,23,22,7|3;15,24,25,24|3;25,26,15,42|3;27,16,26,3|3;17,27,18,3|3;23,18,28,7|3;24,19,29,24|3;20,30,19,42|3;31,20,21,42|3;21,22,31,3|3;28,31,23,42|3;29,32,24,6|3;33,25,32,42|3;26,28,27,42|3;34,29,30,6|3;30,33,34,42|2;32,34,33,6|2;
z=3.7.42	claimed=10	n=7	chambers=34	sigs=List(6.7.24, 6.7, 3.7.24, 3.24.42, 3.7.42, 3.24.42, 3.42)	regularOrbits=2,3,4	irregularOrbits=0,1,5	key=1,2,3,24|3;4,1,5,24|3;3,6,1,3|3;2,7,8,24|3;8,9,2,42|3;10,3,9,3|3;11,4,12,24|3;5,13,4,42|3;14,5,6,42|3;6,10,14,3|2;7,15,16,24|3;16,17,7,3|3;18,8,17,42|3;9,14,10,42|2;19,11,20,24|3;12,21,11,3|3;22,12,13,3|3;13,23,22,42|3;15,24,25,24|3;25,26,15,7|3;27,16,26,3|3;17,27,18,3|3;23,18,28,42|3;24,19,29,24|3;20,30,19,7|3;31,20,21,7|3;21,22,31,3|3;28,31,23,7|3;29,32,24,6|3;33,25,32,7|3;26,28,27,7|3;34,29,30,6|3;30,33,34,7|2;32,34,33,6|2;
z=3.7.42	claimed=10	n=7	chambers=34	sigs=List(7.8.9, 7.9, 3.7.8, 3.8.42, 3.7.42, 6.8.42, 6.42)	regularOrbits=2,3,4	irregularOrbits=0,1,5	key=1,2,3,42|3;4,1,5,42|3;3,6,1,7|3;2,7,8,42|3;8,9,2,3|3;10,3,9,7|3;11,4,12,42|3;5,13,4,3|3;14,5,6,3|3;6,15,14,7|3;7,16,17,42|3;17,18,7,8|3;19,8,18,3|3;9,19,10,3|3;20,10,21,7|3;22,11,23,42|3;12,24,11,8|3;25,12,13,8|3;13,14,25,3|3;15,26,27,7|3;27,25,15,8|3;16,22,28,42|2;28,29,16,6|3;24,17,29,8|3;18,21,19,8|3;30,20,31,7|3;21,32,20,8|3;23,28,22,6|2;29,23,24,6|3;26,30,33,7|2;33,34,26,9|3;32,27,34,8|3;31,33,30,9|2;34,31,32,9|3;
z=3.7.42	claimed=10	n=7	chambers=34	sigs=List(7.9.16, 7.9, 3.7.16, 3.16.42, 3.7.42, 3.16.42, 3.42)	regularOrbits=2,3,4	irregularOrbits=0,1,5	key=1,2,3,16|3;4,1,5,16|3;3,6,1,3|3;2,7,8,16|3;8,9,2,42|3;10,3,9,3|3;11,4,12,16|3;5,13,4,42|3;14,5,6,42|3;6,10,14,3|2;7,15,16,16|3;16,17,7,3|3;18,8,17,42|3;9,14,10,42|2;19,11,20,16|3;12,21,11,3|3;22,12,13,3|3;13,23,22,42|3;15,24,25,16|3;25,26,15,7|3;27,16,26,3|3;17,27,18,3|3;23,18,28,42|3;24,19,29,16|3;20,30,19,7|3;31,20,21,7|3;21,22,31,3|3;28,31,23,7|3;29,32,24,9|3;33,25,32,7|3;26,28,27,7|3;34,29,30,9|3;30,33,34,7|2;32,34,33,9|2;
z=3.7.42	claimed=10	n=7	chambers=34	sigs=List(8.9.42, 9.42, 3.8.42, 3.7.8, 3.7.42, 6.7.8, 6.7)	regularOrbits=2,3,4	irregularOrbits=0,1,5	key=1,2,3,42|3;4,1,5,42|3;3,6,1,7|3;2,7,8,42|3;8,9,2,3|3;10,3,9,7|3;11,4,12,42|3;5,13,4,3|3;14,5,6,3|3;6,15,14,7|3;7,16,17,42|3;17,18,7,8|3;19,8,18,3|3;9,19,10,3|3;20,10,21,7|3;22,11,23,42|3;12,24,11,8|3;25,12,13,8|3;13,14,25,3|3;15,26,27,7|3;27,25,15,8|3;16,22,28,42|2;28,29,16,9|3;24,17,29,8|3;18,21,19,8|3;30,20,31,7|3;21,32,20,8|3;23,28,22,9|2;29,23,24,9|3;26,30,33,7|2;33,34,26,6|3;32,27,34,8|3;31,33,30,6|2;34,31,32,6|3;
z=3.7.42	claimed=10	n=7	chambers=34	sigs=List(9.16.42, 9.42, 3.16.42, 3.7.16, 3.7.42, 3.7.16, 3.7)	regularOrbits=2,3,4	irregularOrbits=0,1,5	key=1,2,3,16|3;4,1,5,16|3;3,6,1,3|3;2,7,8,16|3;8,9,2,7|3;10,3,9,3|3;11,4,12,16|3;5,13,4,7|3;14,5,6,7|3;6,10,14,3|2;7,15,16,16|3;16,17,7,3|3;18,8,17,7|3;9,14,10,7|2;19,11,20,16|3;12,21,11,3|3;22,12,13,3|3;13,23,22,7|3;15,24,25,16|3;25,26,15,42|3;27,16,26,3|3;17,27,18,3|3;23,18,28,7|3;24,19,29,16|3;20,30,19,42|3;31,20,21,42|3;21,22,31,3|3;28,31,23,42|3;29,32,24,9|3;33,25,32,42|3;26,28,27,42|3;34,29,30,9|3;30,33,34,42|2;32,34,33,9|2;
